ID,Type of MB,Compound abbreviation,Types of contaminants,pH,Compound Mw (g/mol),Compound charge,Compound Kow,min projection (A),max projection (A),MB MWCO (Da),MB contact angle,MB zeta potential,Total charge,Pressure (kPa),Measurement time (min),Initial concentration of compound (mg/L),compound size (nm),removal rate (%),reference,MWCO ref,MB contact angle ref,MB zeta potential ref,mem_material
1423,SW30XLE,BAC,Boric Acid,7,61.8,-0.0196,-0.509,2.74,3.2,100,55,-1,0.0196,1550,10,200,0.296,83.5,A Path to Ultraselectivity: Support Layer Properties To Maximize Performance of Biomimetic Desalination Membranes ,INTEGRATED PRODUCTION OF BIOFUELS AND SUCCINIC ACID FROM BIOMASS AFTER THERMOCHEMICAL PRETREATMENTS,Using zwitterionic amino acid l-DOPA to modify the surface of thin film composite polyamide reverse osmosis membranes to increase their fouling resistance,Using zwitterionic amino acid l-DOPA to modify the surface of thin film composite polyamide reverse osmosis membranes to increase their fouling resistance,PA
1424,SW30XLE,12EDL,"1,2-ethanediol",7,62.07,0,-1.209,2.6,3.75,100,55,-1,0,1550,10,2000,0.312,85.6,A Path to Ultraselectivity: Support Layer Properties To Maximize Performance of Biomimetic Desalination Membranes ,INTEGRATED PRODUCTION OF BIOFUELS AND SUCCINIC ACID FROM BIOMASS AFTER THERMOCHEMICAL PRETREATMENTS,Using zwitterionic amino acid l-DOPA to modify the surface of thin film composite polyamide reverse osmosis membranes to increase their fouling resistance,Using zwitterionic amino acid l-DOPA to modify the surface of thin film composite polyamide reverse osmosis membranes to increase their fouling resistance,PA
1425,SW30XLE,1BTL,1-Butanol ,7,74.1,0,0.84,2.82,4.49,100,55,-1,0,1550,10,2000,0.356,90.5,A Path to Ultraselectivity: Support Layer Properties To Maximize Performance of Biomimetic Desalination Membranes ,INTEGRATED PRODUCTION OF BIOFUELS AND SUCCINIC ACID FROM BIOMASS AFTER THERMOCHEMICAL PRETREATMENTS,Using zwitterionic amino acid l-DOPA to modify the surface of thin film composite polyamide reverse osmosis membranes to increase their fouling resistance,Using zwitterionic amino acid l-DOPA to modify the surface of thin film composite polyamide reverse osmosis membranes to increase their fouling resistance,PA
1426,SW30XLE,13PPL,"1,3-Propandiol",7,76.095,0,-1.04,2.67,4.37,100,55,-1,0,1550,10,2000,0.342,96.5,A Path to Ultraselectivity: Support Layer Properties To Maximize Performance of Biomimetic Desalination Membranes ,INTEGRATED PRODUCTION OF BIOFUELS AND SUCCINIC ACID FROM BIOMASS AFTER THERMOCHEMICAL PRETREATMENTS,Using zwitterionic amino acid l-DOPA to modify the surface of thin film composite polyamide reverse osmosis membranes to increase their fouling resistance,Using zwitterionic amino acid l-DOPA to modify the surface of thin film composite polyamide reverse osmosis membranes to increase their fouling resistance,PA
1427,SW30XLE,14DIOX,"1,4-Dioxane",7,88,0,-0.27,2.93,3.62,100,55,-1,0,1550,10,200,0.326,98.4,A Path to Ultraselectivity: Support Layer Properties To Maximize Performance of Biomimetic Desalination Membranes ,INTEGRATED PRODUCTION OF BIOFUELS AND SUCCINIC ACID FROM BIOMASS AFTER THERMOCHEMICAL PRETREATMENTS,Using zwitterionic amino acid l-DOPA to modify the surface of thin film composite polyamide reverse osmosis membranes to increase their fouling resistance,Using zwitterionic amino acid l-DOPA to modify the surface of thin film composite polyamide reverse osmosis membranes to increase their fouling resistance,PA
1428,SW30XLE,GCR,Glycerol,7,92.094,0,-1.839,3.01,4.38,100,55,-1,0,1550,10,2000,0.363,99.2,A Path to Ultraselectivity: Support Layer Properties To Maximize Performance of Biomimetic Desalination Membranes ,INTEGRATED PRODUCTION OF BIOFUELS AND SUCCINIC ACID FROM BIOMASS AFTER THERMOCHEMICAL PRETREATMENTS,Using zwitterionic amino acid l-DOPA to modify the surface of thin film composite polyamide reverse osmosis membranes to increase their fouling resistance,Using zwitterionic amino acid l-DOPA to modify the surface of thin film composite polyamide reverse osmosis membranes to increase their fouling resistance,PA
1429,SW30XLE,1BTL,1-Butanol ,7,74.1,0,0.84,2.82,4.49,100,55,-1,0,1550,10,2000,0.356,94.7,A Path to Ultraselectivity: Support Layer Properties To Maximize Performance of Biomimetic Desalination Membranes ,INTEGRATED PRODUCTION OF BIOFUELS AND SUCCINIC ACID FROM BIOMASS AFTER THERMOCHEMICAL PRETREATMENTS,Using zwitterionic amino acid l-DOPA to modify the surface of thin film composite polyamide reverse osmosis membranes to increase their fouling resistance,Using zwitterionic amino acid l-DOPA to modify the surface of thin film composite polyamide reverse osmosis membranes to increase their fouling resistance,PA
1430,SW30XLE,14BTD,"1,4-Butanediol",7,90.122,0,-0.631,2.7,5.03,100,55,-1,0,1550,10,2000,0.369,98,A Path to Ultraselectivity: Support Layer Properties To Maximize Performance of Biomimetic Desalination Membranes ,INTEGRATED PRODUCTION OF BIOFUELS AND SUCCINIC ACID FROM BIOMASS AFTER THERMOCHEMICAL PRETREATMENTS,Using zwitterionic amino acid l-DOPA to modify the surface of thin film composite polyamide reverse osmosis membranes to increase their fouling resistance,Using zwitterionic amino acid l-DOPA to modify the surface of thin film composite polyamide reverse osmosis membranes to increase their fouling resistance,PA
1431,SW30XLE,ETT,Erythritol,7,122.1,0,-2.469,3.36,4.72,100,55,-1,0,1550,10,2000,0.398,99.6,A Path to Ultraselectivity: Support Layer Properties To Maximize Performance of Biomimetic Desalination Membranes ,INTEGRATED PRODUCTION OF BIOFUELS AND SUCCINIC ACID FROM BIOMASS AFTER THERMOCHEMICAL PRETREATMENTS,Using zwitterionic amino acid l-DOPA to modify the surface of thin film composite polyamide reverse osmosis membranes to increase their fouling resistance,Using zwitterionic amino acid l-DOPA to modify the surface of thin film composite polyamide reverse osmosis membranes to increase their fouling resistance,PA
1432,SW30XLE,15PNL,"1,5-Pentanediol",7,104.149,0,-0.187,2.89,5.67,100,55,-1,0,1550,10,2000,0.405,98.7,A Path to Ultraselectivity: Support Layer Properties To Maximize Performance of Biomimetic Desalination Membranes ,INTEGRATED PRODUCTION OF BIOFUELS AND SUCCINIC ACID FROM BIOMASS AFTER THERMOCHEMICAL PRETREATMENTS,Using zwitterionic amino acid l-DOPA to modify the surface of thin film composite polyamide reverse osmosis membranes to increase their fouling resistance,Using zwitterionic amino acid l-DOPA to modify the surface of thin film composite polyamide reverse osmosis membranes to increase their fouling resistance,PA
1433,SW30XLE,4HBA,4-Hydroxybenzoic Acid ,7,138.12,-0.9997,1.327,3.63,5.05,100,55,-1,0.9997,1550,10,20,0.428,99.2,A Path to Ultraselectivity: Support Layer Properties To Maximize Performance of Biomimetic Desalination Membranes ,INTEGRATED PRODUCTION OF BIOFUELS AND SUCCINIC ACID FROM BIOMASS AFTER THERMOCHEMICAL PRETREATMENTS,Using zwitterionic amino acid l-DOPA to modify the surface of thin film composite polyamide reverse osmosis membranes to increase their fouling resistance,Using zwitterionic amino acid l-DOPA to modify the surface of thin film composite polyamide reverse osmosis membranes to increase their fouling resistance,PA
1434,SW30XLE,XLT,Xylitol,7,152.146,0,-3.1,3.37,5.18,100,55,-1,0,1550,10,2000,0.418,99.7,A Path to Ultraselectivity: Support Layer Properties To Maximize Performance of Biomimetic Desalination Membranes ,INTEGRATED PRODUCTION OF BIOFUELS AND SUCCINIC ACID FROM BIOMASS AFTER THERMOCHEMICAL PRETREATMENTS,Using zwitterionic amino acid l-DOPA to modify the surface of thin film composite polyamide reverse osmosis membranes to increase their fouling resistance,Using zwitterionic amino acid l-DOPA to modify the surface of thin film composite polyamide reverse osmosis membranes to increase their fouling resistance,PA
1435,SW30XLE,CMA,Cinnamic Acid,7,148.161,-0.9979,2.136,3.51,5.59,100,55,-1,0.9979,1550,10,20,0.443,98.9,A Path to Ultraselectivity: Support Layer Properties To Maximize Performance of Biomimetic Desalination Membranes ,INTEGRATED PRODUCTION OF BIOFUELS AND SUCCINIC ACID FROM BIOMASS AFTER THERMOCHEMICAL PRETREATMENTS,Using zwitterionic amino acid l-DOPA to modify the surface of thin film composite polyamide reverse osmosis membranes to increase their fouling resistance,Using zwitterionic amino acid l-DOPA to modify the surface of thin film composite polyamide reverse osmosis membranes to increase their fouling resistance,PA
1436,SW30XLE,GLC,Glucose,7,180.156,0,-2.933,4.01,4.81,100,55,-1,0,1550,10,2000,0.439,99.7,A Path to Ultraselectivity: Support Layer Properties To Maximize Performance of Biomimetic Desalination Membranes ,INTEGRATED PRODUCTION OF BIOFUELS AND SUCCINIC ACID FROM BIOMASS AFTER THERMOCHEMICAL PRETREATMENTS,Using zwitterionic amino acid l-DOPA to modify the surface of thin film composite polyamide reverse osmosis membranes to increase their fouling resistance,Using zwitterionic amino acid l-DOPA to modify the surface of thin film composite polyamide reverse osmosis membranes to increase their fouling resistance,PA
1437,SW30XLE,MNL,Mannitol,7,182.172,0,-3.73,3.54,5.39,100,55,-1,0,1550,10,2000,0.437,99.7,A Path to Ultraselectivity: Support Layer Properties To Maximize Performance of Biomimetic Desalination Membranes ,INTEGRATED PRODUCTION OF BIOFUELS AND SUCCINIC ACID FROM BIOMASS AFTER THERMOCHEMICAL PRETREATMENTS,Using zwitterionic amino acid l-DOPA to modify the surface of thin film composite polyamide reverse osmosis membranes to increase their fouling resistance,Using zwitterionic amino acid l-DOPA to modify the surface of thin film composite polyamide reverse osmosis membranes to increase their fouling resistance,PA
1438,SW30XLE,TYL,Thymol,7,150.221,0,3.428,3.7,5.26,100,55,-1,0,1550,10,20,0.441,99.7,A Path to Ultraselectivity: Support Layer Properties To Maximize Performance of Biomimetic Desalination Membranes ,INTEGRATED PRODUCTION OF BIOFUELS AND SUCCINIC ACID FROM BIOMASS AFTER THERMOCHEMICAL PRETREATMENTS,Using zwitterionic amino acid l-DOPA to modify the surface of thin film composite polyamide reverse osmosis membranes to increase their fouling resistance,Using zwitterionic amino acid l-DOPA to modify the surface of thin film composite polyamide reverse osmosis membranes to increase their fouling resistance,PA
1439,SW30XLE,TYL,Thymol,3,150.221,0,3.428,3.7,5.26,100,55,-1,0,1550,10,20,0.441,99.7,A Path to Ultraselectivity: Support Layer Properties To Maximize Performance of Biomimetic Desalination Membranes ,INTEGRATED PRODUCTION OF BIOFUELS AND SUCCINIC ACID FROM BIOMASS AFTER THERMOCHEMICAL PRETREATMENTS,Using zwitterionic amino acid l-DOPA to modify the surface of thin film composite polyamide reverse osmosis membranes to increase their fouling resistance,Using zwitterionic amino acid l-DOPA to modify the surface of thin film composite polyamide reverse osmosis membranes to increase their fouling resistance,PA
1440,SW30XLE,PFHxA,perfluorohexanoate,7.1,313.047,-1,3.712,3.69,5.63,100,61.4,-1,1,250,90,100,0.456,99.22,Selection of High Flux Membrane for the E??€ective Removal of ShortChain Per???uorocarboxylic Acids,INTEGRATED PRODUCTION OF BIOFUELS AND SUCCINIC ACID FROM BIOMASS AFTER THERMOCHEMICAL PRETREATMENTS,,Using zwitterionic amino acid l-DOPA to modify the surface of thin film composite polyamide reverse osmosis membranes to increase their fouling resistance,PA
1441,SW30XLE,PFHxA,perfluorohexanoate,7.1,313.047,-1,3.712,3.69,5.63,100,61.4,-1,1,500,90,100,0.456,99.25,Selection of High Flux Membrane for the E??€ective Removal of ShortChain Per???uorocarboxylic Acids,INTEGRATED PRODUCTION OF BIOFUELS AND SUCCINIC ACID FROM BIOMASS AFTER THERMOCHEMICAL PRETREATMENTS,,Using zwitterionic amino acid l-DOPA to modify the surface of thin film composite polyamide reverse osmosis membranes to increase their fouling resistance,PA
1442,SW30XLE,PFHxA,perfluorohexanoate,7.1,313.047,-1,3.712,3.69,5.63,100,61.4,-1,1,1000,90,100,0.456,99.66,Selection of High Flux Membrane for the E??€ective Removal of ShortChain Per???uorocarboxylic Acids,INTEGRATED PRODUCTION OF BIOFUELS AND SUCCINIC ACID FROM BIOMASS AFTER THERMOCHEMICAL PRETREATMENTS,,Using zwitterionic amino acid l-DOPA to modify the surface of thin film composite polyamide reverse osmosis membranes to increase their fouling resistance,PA
1443,SW30XLE,PFHxA,perfluorohexanoate,7.1,313.047,-1,3.712,3.69,5.63,100,61.4,-1,1,2000,90,100,0.456,99.17,Selection of High Flux Membrane for the E??€ective Removal of ShortChain Per???uorocarboxylic Acids,INTEGRATED PRODUCTION OF BIOFUELS AND SUCCINIC ACID FROM BIOMASS AFTER THERMOCHEMICAL PRETREATMENTS,,Using zwitterionic amino acid l-DOPA to modify the surface of thin film composite polyamide reverse osmosis membranes to increase their fouling resistance,PA
1444,SW30XLE,PFHxA,perfluorohexanoate,3.5,313.047,-1,3.712,3.69,5.63,100,61.4,-1,1,250,90,100,0.456,96.02,Selection of High Flux Membrane for the E??€ective Removal of ShortChain Per???uorocarboxylic Acids,INTEGRATED PRODUCTION OF BIOFUELS AND SUCCINIC ACID FROM BIOMASS AFTER THERMOCHEMICAL PRETREATMENTS,,Using zwitterionic amino acid l-DOPA to modify the surface of thin film composite polyamide reverse osmosis membranes to increase their fouling resistance,PA
1445,SW30XLE,PFHxA,perfluorohexanoate,3.5,313.047,-1,3.712,3.69,5.63,100,61.4,-1,1,500,90,100,0.456,96.3,Selection of High Flux Membrane for the E??€ective Removal of ShortChain Per???uorocarboxylic Acids,INTEGRATED PRODUCTION OF BIOFUELS AND SUCCINIC ACID FROM BIOMASS AFTER THERMOCHEMICAL PRETREATMENTS,,Using zwitterionic amino acid l-DOPA to modify the surface of thin film composite polyamide reverse osmosis membranes to increase their fouling resistance,PA
1446,SW30XLE,PFHxA,perfluorohexanoate,3.5,313.047,-1,3.712,3.69,5.63,100,61.4,-1,1,1000,90,100,0.456,96.39,Selection of High Flux Membrane for the E??€ective Removal of ShortChain Per???uorocarboxylic Acids,INTEGRATED PRODUCTION OF BIOFUELS AND SUCCINIC ACID FROM BIOMASS AFTER THERMOCHEMICAL PRETREATMENTS,,Using zwitterionic amino acid l-DOPA to modify the surface of thin film composite polyamide reverse osmosis membranes to increase their fouling resistance,PA
1447,SW30XLE,PFHxA,perfluorohexanoate,3.5,313.047,-1,3.712,3.69,5.63,100,61.4,-1,1,2000,90,100,0.456,95.26,Selection of High Flux Membrane for the E??€ective Removal of ShortChain Per???uorocarboxylic Acids,INTEGRATED PRODUCTION OF BIOFUELS AND SUCCINIC ACID FROM BIOMASS AFTER THERMOCHEMICAL PRETREATMENTS,,Using zwitterionic amino acid l-DOPA to modify the surface of thin film composite polyamide reverse osmosis membranes to increase their fouling resistance,PA
1448,SWC1,DXT,Dexamethasone,7,392.467,0,1.682,4.86,7.43,100,48.8,-1,0,1000,10,15,0.601,99.9,Removal of Glucocorticosteroids and Anesthetics from Water with RO/NF Membranes,,Investigating the microstructures and surface features of seawater RO membranes and the dependencies of fouling resistance performances,,PA
1449,SWC1,DXT,Dexamethasone,7,392.467,0,1.682,4.86,7.43,100,48.8,-1,0,1000,120,15,0.601,99.6,Removal of Glucocorticosteroids and Anesthetics from Water with RO/NF Membranes,,Investigating the microstructures and surface features of seawater RO membranes and the dependencies of fouling resistance performances,,PA
1450,SWC1,DXT,Dexamethasone,7,392.467,0,1.682,4.86,7.43,100,48.8,-1,0,1000,240,15,0.601,99.6,Removal of Glucocorticosteroids and Anesthetics from Water with RO/NF Membranes,,Investigating the microstructures and surface features of seawater RO membranes and the dependencies of fouling resistance performances,,PA
1451,SWC1,DXT,Dexamethasone,7,392.467,0,1.682,4.86,7.43,100,48.8,-1,0,1000,360,15,0.601,99.6,Removal of Glucocorticosteroids and Anesthetics from Water with RO/NF Membranes,,Investigating the microstructures and surface features of seawater RO membranes and the dependencies of fouling resistance performances,,PA
1452,SWC1,DXT,Dexamethasone,7,392.467,0,1.682,4.86,7.43,100,48.8,-1,0,1000,480,15,0.601,99.6,Removal of Glucocorticosteroids and Anesthetics from Water with RO/NF Membranes,,Investigating the microstructures and surface features of seawater RO membranes and the dependencies of fouling resistance performances,,PA
1453,SWC1,DXT,Dexamethasone,7,392.467,0,1.682,4.86,7.43,100,48.8,-1,0,1000,720,15,0.601,99.6,Removal of Glucocorticosteroids and Anesthetics from Water with RO/NF Membranes,,Investigating the microstructures and surface features of seawater RO membranes and the dependencies of fouling resistance performances,,PA
1454,SWC1,DXT,Dexamethasone,7,392.467,0,1.682,4.86,7.43,100,48.8,-1,0,1000,1440,15,0.601,99.6,Removal of Glucocorticosteroids and Anesthetics from Water with RO/NF Membranes,,Investigating the microstructures and surface features of seawater RO membranes and the dependencies of fouling resistance performances,,PA
1455,SWC1,HCT,Hydrocortisone,7,362.466,0,1.275,4.45,7.53,100,48.8,-1,0,1000,10,15,0.579,99.9,Removal of Glucocorticosteroids and Anesthetics from Water with RO/NF Membranes,,Investigating the microstructures and surface features of seawater RO membranes and the dependencies of fouling resistance performances,,PA
1456,SWC1,HCT,Hydrocortisone,7,362.466,0,1.275,4.45,7.53,100,48.8,-1,0,1000,120,15,0.579,99.6,Removal of Glucocorticosteroids and Anesthetics from Water with RO/NF Membranes,,Investigating the microstructures and surface features of seawater RO membranes and the dependencies of fouling resistance performances,,PA
1457,SWC1,HCT,Hydrocortisone,7,362.466,0,1.275,4.45,7.53,100,48.8,-1,0,1000,240,15,0.579,99.6,Removal of Glucocorticosteroids and Anesthetics from Water with RO/NF Membranes,,Investigating the microstructures and surface features of seawater RO membranes and the dependencies of fouling resistance performances,,PA
1458,SWC1,HCT,Hydrocortisone,7,362.466,0,1.275,4.45,7.53,100,48.8,-1,0,1000,360,15,0.579,99.6,Removal of Glucocorticosteroids and Anesthetics from Water with RO/NF Membranes,,Investigating the microstructures and surface features of seawater RO membranes and the dependencies of fouling resistance performances,,PA
1459,SWC1,HCT,Hydrocortisone,7,362.466,0,1.275,4.45,7.53,100,48.8,-1,0,1000,480,15,0.579,99.5,Removal of Glucocorticosteroids and Anesthetics from Water with RO/NF Membranes,,Investigating the microstructures and surface features of seawater RO membranes and the dependencies of fouling resistance performances,,PA
1460,SWC1,HCT,Hydrocortisone,7,362.466,0,1.275,4.45,7.53,100,48.8,-1,0,1000,720,15,0.579,99.5,Removal of Glucocorticosteroids and Anesthetics from Water with RO/NF Membranes,,Investigating the microstructures and surface features of seawater RO membranes and the dependencies of fouling resistance performances,,PA
1461,SWC1,HCT,Hydrocortisone,7,362.466,0,1.275,4.45,7.53,100,48.8,-1,0,1000,1440,15,0.579,99.6,Removal of Glucocorticosteroids and Anesthetics from Water with RO/NF Membranes,,Investigating the microstructures and surface features of seawater RO membranes and the dependencies of fouling resistance performances,,PA
1462,SWC1,LDC,Lidocaine,7,234.343,0.8504,2.843,4.51,6.75,100,48.8,-1,-0.8504,1000,10,15,0.552,100,Removal of Glucocorticosteroids and Anesthetics from Water with RO/NF Membranes,,Investigating the microstructures and surface features of seawater RO membranes and the dependencies of fouling resistance performances,,PA
1463,SWC1,LDC,Lidocaine,7,234.343,0.8504,2.843,4.51,6.75,100,48.8,-1,-0.8504,1000,120,15,0.552,99.3,Removal of Glucocorticosteroids and Anesthetics from Water with RO/NF Membranes,,Investigating the microstructures and surface features of seawater RO membranes and the dependencies of fouling resistance performances,,PA
1464,SWC1,LDC,Lidocaine,7,234.343,0.8504,2.843,4.51,6.75,100,48.8,-1,-0.8504,1000,240,15,0.552,98.6,Removal of Glucocorticosteroids and Anesthetics from Water with RO/NF Membranes,,Investigating the microstructures and surface features of seawater RO membranes and the dependencies of fouling resistance performances,,PA
1465,SWC1,LDC,Lidocaine,7,234.343,0.8504,2.843,4.51,6.75,100,48.8,-1,-0.8504,1000,360,15,0.552,98.8,Removal of Glucocorticosteroids and Anesthetics from Water with RO/NF Membranes,,Investigating the microstructures and surface features of seawater RO membranes and the dependencies of fouling resistance performances,,PA
1466,SWC1,LDC,Lidocaine,7,234.343,0.8504,2.843,4.51,6.75,100,48.8,-1,-0.8504,1000,480,15,0.552,98.5,Removal of Glucocorticosteroids and Anesthetics from Water with RO/NF Membranes,,Investigating the microstructures and surface features of seawater RO membranes and the dependencies of fouling resistance performances,,PA
1467,SWC1,LDC,Lidocaine,7,234.343,0.8504,2.843,4.51,6.75,100,48.8,-1,-0.8504,1000,720,15,0.552,98.3,Removal of Glucocorticosteroids and Anesthetics from Water with RO/NF Membranes,,Investigating the microstructures and surface features of seawater RO membranes and the dependencies of fouling resistance performances,,PA
1468,SWC1,LDC,Lidocaine,7,234.343,0.8504,2.843,4.51,6.75,100,48.8,-1,-0.8504,1000,1440,15,0.552,98.6,Removal of Glucocorticosteroids and Anesthetics from Water with RO/NF Membranes,,Investigating the microstructures and surface features of seawater RO membranes and the dependencies of fouling resistance performances,,PA
1469,SWC1,PRC,Procaine,7,236.315,0.9892,1.88,4.31,8.04,100,48.8,-1,-0.9892,1000,10,15,0.589,100,Removal of Glucocorticosteroids and Anesthetics from Water with RO/NF Membranes,,Investigating the microstructures and surface features of seawater RO membranes and the dependencies of fouling resistance performances,,PA
1470,SWC1,PRC,Procaine,7,236.315,0.9892,1.88,4.31,8.04,100,48.8,-1,-0.9892,1000,120,15,0.589,99.3,Removal of Glucocorticosteroids and Anesthetics from Water with RO/NF Membranes,,Investigating the microstructures and surface features of seawater RO membranes and the dependencies of fouling resistance performances,,PA
1471,SWC1,PRC,Procaine,7,236.315,0.9892,1.88,4.31,8.04,100,48.8,-1,-0.9892,1000,240,15,0.589,98.4,Removal of Glucocorticosteroids and Anesthetics from Water with RO/NF Membranes,,Investigating the microstructures and surface features of seawater RO membranes and the dependencies of fouling resistance performances,,PA
1472,SWC1,PRC,Procaine,7,236.315,0.9892,1.88,4.31,8.04,100,48.8,-1,-0.9892,1000,360,15,0.589,98,Removal of Glucocorticosteroids and Anesthetics from Water with RO/NF Membranes,,Investigating the microstructures and surface features of seawater RO membranes and the dependencies of fouling resistance performances,,PA
1473,SWC1,PRC,Procaine,7,236.315,0.9892,1.88,4.31,8.04,100,48.8,-1,-0.9892,1000,480,15,0.589,97.5,Removal of Glucocorticosteroids and Anesthetics from Water with RO/NF Membranes,,Investigating the microstructures and surface features of seawater RO membranes and the dependencies of fouling resistance performances,,PA
1474,SWC1,PRC,Procaine,7,236.315,0.9892,1.88,4.31,8.04,100,48.8,-1,-0.9892,1000,720,15,0.589,97.7,Removal of Glucocorticosteroids and Anesthetics from Water with RO/NF Membranes,,Investigating the microstructures and surface features of seawater RO membranes and the dependencies of fouling resistance performances,,PA
1475,SWC1,PRC,Procaine,7,236.315,0.9892,1.88,4.31,8.04,100,48.8,-1,-0.9892,1000,1440,15,0.589,97.6,Removal of Glucocorticosteroids and Anesthetics from Water with RO/NF Membranes,,Investigating the microstructures and surface features of seawater RO membranes and the dependencies of fouling resistance performances,,PA
1476,TS80,17AED,17alpha-Ethynilestradiol,7,296.41,0,4.33,4.44,7.2,200,56.6,-1,0,1034.21,1440,0.0011,0.565,55.3,The rejection of endocrine disrupting and pharmaceutically active compounds by NF and RO membranes as a function of compound and water matrix properties,The role of electrostatic interactions on the rejection of organic solutes in,,,PA
1477,TS80,17AST,17alpha-estradiol,7,272.388,0,3.746,4.02,6.88,200,56.6,-1,0,1034.21,1440,0.00105,0.526,46.5,The rejection of endocrine disrupting and pharmaceutically active compounds by NF and RO membranes as a function of compound and water matrix properties,The role of electrostatic interactions on the rejection of organic solutes in,,,PA
1478,TS80,17BED,17beta-Estradiol,7,272.4,0,3.746,4.02,7.3,200,56.6,-1,0,1034.21,1440,0.00101,0.542,37.2,The rejection of endocrine disrupting and pharmaceutically active compounds by NF and RO membranes as a function of compound and water matrix properties,The role of electrostatic interactions on the rejection of organic solutes in,,,PA
1479,TS80,ACT,Acetaminophen,7,151.165,0,0.907,3.49,5.67,200,56.6,-1,0,1034.21,1440,0.00112,0.445,0,The rejection of endocrine disrupting and pharmaceutically active compounds by NF and RO membranes as a function of compound and water matrix properties,The role of electrostatic interactions on the rejection of organic solutes in,,,PA
1480,TS80,ACT,Acetaminophen,8.1,151.165,-0.0414,0.907,3.49,5.67,200,56.6,-1,0.0414,689.476,10,0.001,0.445,28.9,The influence of natural organic matter and cations on the rejection of endocrine disrupting and pharmaceutically active compounds by nanofilltration,The role of electrostatic interactions on the rejection of organic solutes in,The rejection of endocrine disrupting and pharmaceutically active compounds by NF and RO membranes as a function of compound and water matrix properties,The rejection of endocrine disrupting and pharmaceutically active compounds by NF and RO membranes as a function of compound and water matrix properties,PA
1481,TS80,ALC,Alachlor,7,269.77,0,3.591,4.74,5.77,200,56.6,-1,0,1034.21,1440,0.001,0.523,41.8,The rejection of endocrine disrupting and pharmaceutically active compounds by NF and RO membranes as a function of compound and water matrix properties,The role of electrostatic interactions on the rejection of organic solutes in,,,PA
1482,TS80,AMP,Aminopyrine,8,231.299,0,1.151,4.26,6.4,200,48,-1,0,500,10,0.002,0.522,90.59,Influence of membrane fouling by (pretreated) surface water on rejection of pharmaceutically active compounds (PhACs) by nanofilltration membranes,The role of electrostatic interactions on the rejection of organic solutes in aqueous solutions with nanofiltration,,,PA
1483,TS80,ATL,Atenolol,8,266.341,0.9789,0.425,4.19,9.12,200,48,-1,-0.9789,500,10,0.002,0.618,78.38,Influence of membrane fouling by (pretreated) surface water on rejection of pharmaceutically active compounds (PhACs) by nanofilltration membranes,The role of electrostatic interactions on the rejection of organic solutes in aqueous solutions with nanofiltration,,,PA
1484,TS80,ATT,Atraton,7,211.269,0.9441,0.625,5.23,6.3,200,56.6,-1,-0.9441,1034.21,1440,0.001,0.574,21.7,The rejection of endocrine disrupting and pharmaceutically active compounds by NF and RO membranes as a function of compound and water matrix properties,The role of electrostatic interactions on the rejection of organic solutes in,,,PA
1485,TS80,BPA,Bisphenol A,7,228.291,0,4.045,4.53,5.62,200,56.6,-1,0,1034.21,1440,0.00207,0.505,25.6,The rejection of endocrine disrupting and pharmaceutically active compounds by NF and RO membranes as a function of compound and water matrix properties,The role of electrostatic interactions on the rejection of organic solutes in,,,PA
1486,TS80,BZB,Bezafibrate,8,361.82,-1,3.987,4.13,10,200,48,-1,1,500,10,0.002,0.643,89.32,Influence of membrane fouling by (pretreated) surface water on rejection of pharmaceutically active compounds (PhACs) by nanofilltration membranes,The role of electrostatic interactions on the rejection of organic solutes in aqueous solutions with nanofiltration,,,PA
1487,TS80,CAF,Caffeine,7,194.194,0,-0.546,4.44,5.03,200,56.6,-1,0,1034.21,1440,0.001,0.473,5.4,The rejection of endocrine disrupting and pharmaceutically active compounds by NF and RO membranes as a function of compound and water matrix properties,The role of electrostatic interactions on the rejection of organic solutes in,,,PA
1488,TS80,CBP,Carbamazepine,8,236.274,0,2.766,4.48,5.76,200,48,-1,0,500,10,0.002,0.508,84.3,Influence of membrane fouling by (pretreated) surface water on rejection of pharmaceutically active compounds (PhACs) by nanofilltration membranes,The role of electrostatic interactions on the rejection of organic solutes in aqueous solutions with nanofiltration,,,PA
1489,TS80,CBP,Carbamazepine,7,236.274,0,2.766,4.48,5.76,200,56.6,-1,0,1034.21,1440,0.00113,0.508,8.9,The rejection of endocrine disrupting and pharmaceutically active compounds by NF and RO membranes as a function of compound and water matrix properties,The role of electrostatic interactions on the rejection of organic solutes in,,,PA
1490,TS80,CBP,Carbamazepine,8.1,236.274,0,2.766,4.48,5.76,200,56.6,-1,0,689.476,10,0.001,0.508,93.4,The influence of natural organic matter and cations on the rejection of endocrine disrupting and pharmaceutically active compounds by nanofilltration,The role of electrostatic interactions on the rejection of organic solutes in,The rejection of endocrine disrupting and pharmaceutically active compounds by NF and RO membranes as a function of compound and water matrix properties,The rejection of endocrine disrupting and pharmaceutically active compounds by NF and RO membranes as a function of compound and water matrix properties,PA
1491,TS80,CBT,Clenbuterol,8,277.19,0.977,2.334,4.47,6.92,200,48,-1,-0.977,500,10,0.002,0.556,80.57,Influence of membrane fouling by (pretreated) surface water on rejection of pharmaceutically active compounds (PhACs) by nanofilltration membranes,The role of electrostatic interactions on the rejection of organic solutes in aqueous solutions with nanofiltration,,,PA
